Country,Botox Dysport,Hyaluronic Acid,Laser Hair Removal,Autologous Fat,IPL Laser Treatment
U.S.,815150,404779,228361,49980,109302
Brazil,179859,79028,70487,62549,39690
China,233500,146700,85440,36400,38960
Japan,208313,132180,77818,33214,36437
Mexico,204657,97774,51324,16410,26034
South Korea,145688,90113,52825,23175,22225
Italy,150285,123750,21225,16455,17025
