Country,Lipoplasty,Breast Augmentation,Blepharoplasty,Abdominoplasty,Rhinoplasty
U.S.,223066,284351,110016,114062,40103
Brazil,211108,148962,90281,95004,43809
China,83240,56840,45820,31780,51680
Japan,72892,52220,40996,28142,46599
Mexico,62010,72712,29616,30208,13267
South Korea,51200,35325,29050,19800,31863
Italy,54315,62055,41790,20970,24990
